%time,field.header.seq,field.header.stamp,field.header.frame_id,field.jerk_body0,field.jerk_body1,field.jerk_body2,field.thrust,field.yaw_rate,field.ang_velocity0,field.ang_velocity1,field.ang_velocity2,field.state_curr0,field.state_curr1,field.state_curr2,field.state_curr3,field.state_curr4,field.state_curr5,field.state_curr6,field.state_curr7,field.state_curr8,field.state_pred0,field.state_pred1,field.state_pred2,field.state_pred3,field.state_pred4,field.state_pred5,field.state_pred6,field.state_pred7,field.state_pred8,field.active
1613536160557885835,0,1613536160557637602,,0.0,0.0,0.0,0.31392000000000003,0.0,0.0,-0.0,0.0,-0.601609468460083,-0.8585787415504456,0.027765288949012756,0.0,0.0,8.4e-323,1.39e-321,nan,6.95274218507473e-310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1613536160660444137,1,1613536160660154824,,0.0,0.0,0.0,0.31392000000000003,0.0,0.0,-0.0,0.0,-0.6016070205874522,-0.8585317696981524,0.027746519595564123,-0.0001189516795797788,-4.403542548487944e-06,4.0206042423075565e-05,-0.0008331774675049658,-0.00016045868670723566,0.0005913806262474012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1613536160762203638,2,1613536160761964852,,0.0,0.0,0.0,0.31392000000000003,0.0,0.0,-0.0,0.0,-0.6015879471063774,-0.8585386287350787,0.02773774764834692,0.00030095730326283306,-3.132745911999994e-05,-0.0002747832990881493,0.0023514382038536045,0.00014262050734045989,-0.0024761770049104865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1613536160866163753,3,1613536160865937602,,0.0,0.0,0.0,0.31392000000000003,0.0,0.0,-0.0,0.0,-0.6015822524626065,-0.8585220503105495,0.027730606949960122,0.0001723369707770854,0.00015746862472214426,-0.00018286403151611982,0.0004965401689652206,0.0009076768834382397,-0.0007122404496893981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1613536160968147773,4,1613536160967961288,,0.0,0.0,0.0,0.31392000000000003,0.0,0.0,-0.0,0.0,-0.6015856649701319,-0.8585241389789159,0.027728042019992363,9.67444334099568e-07,4.39638388370215e-05,-8.611141888107954e-05,-0.000534631091826127,-1.4595150032586606e-05,-2.1280838337802782e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1613536161069962170,5,1613536161069729288,,0.0,0.0,0.0,0.31392000000000003,0.0,0.0,-0.0,0.0,-0.6016139142135964,-0.8585218123006301,0.02774662018856476,-0.00022400948226232418,2.092704674636122e-05,8.589813049813305e-05,-0.0008852744430998669,-0.0001263240994609991,0.00024521836568510764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1613536161174663311,6,1613536161174367464,,0.0,0.0,0.0,0.31392000000000003,0.0,0.0,-0.0,0.0,-0.6015965325011132,-0.8585270523350325,0.027736140379714676,5.627026134975029e-05,-4.3183265269621756e-05,-6.468600098854919e-05,0.0005843184943194685,-0.0002663854354019564,-0.0005223529917167673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1613536161276204932,7,1613536161275999325,,0.0,0.0,0.0,0.31392000000000003,0.0,0.0,-0.0,0.0,-0.601588192835201,-0.8585283935412533,0.027731059528217524,8.27124085346341e-05,-8.849144696533295e-06,-8.374937060225989e-05,0.00023760535393959513,0.0001539242418662622,-0.00039187534949206926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1613536161380367924,8,1613536161380112646,,0.0,0.0,0.0,0.31392000000000003,0.0,0.0,-0.0,0.0,-0.6016064918940448,-0.8585205108442063,0.02774454034623955,-0.00027272092031929533,9.435611708208756e-05,0.00017701662770413227,-0.002396381622261007,0.0006568084237593701,0.0015553913900810269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1613536161481270200,9,1613536161480688048,,0.0,0.0,0.0,0.31392000000000003,0.0,0.0,-0.0,0.0,-0.6015976815850395,-0.8585323484525393,0.02775042876882575,0.0001190557685274728,-9.285645579482031e-05,-5.185132731863653e-05,0.0016553948194645161,-0.0006245622151300126,-0.0014833218176076544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
